Date,Open,High,Low,Close,Volume
2017-10-22,6017.5,6220.0,5875.0,6018.7,854248299
2017-10-23,6018.7,6080.2,5720.0,5986.0,847520369
2017-10-24,5986.0,6095.2,5638.7,5853.9,1013064819
2017-10-25,5853.9,5853.9,5454.0,5517.4,950744064
2017-10-26,5517.4,5758.9,5366.0,5732.0,710909859
2017-10-27,5732.0,6008.0,5669.6,5888.4,773138211
2017-10-28,5888.4,6013.0,5678.0,5769.3,632848491
2017-10-29,5769.3,5878.0,5652.7,5727.1,444659626
2017-10-30,5727.1,6366.0,5687.5,6159.3,756109936
2017-10-31,6159.3,6221.8,6010.8,6134.9,579186740
2017-11-01,6134.9,6489.0,6088.4,6440.1,757390412
2017-11-02,6440.1,6750.0,6360.0,6749.5,1002702139
2017-11-03,6749.5,7437.7,6700.3,7025.8,1947637864
2017-11-04,7025.8,7495.0,6920.0,7146.5,1321777619
2017-11-05,7146.5,7596.1,6983.6,7393.9,1077283262
2017-11-06,7393.9,7621.7,7280.5,7378.3,1029792323
2017-11-07,7378.3,7436.0,6900.0,6960.0,1477643661
2017-11-08,6960.0,7215.5,6957.0,7121.3,1060689403
2017-11-09,7121.3,7950.0,7013.0,7465.0,1939100851
2017-11-10,7465.0,7490.2,7030.0,7150.5,1021866714
2017-11-11,7150.5,7362.5,6431.0,6564.0,1784422368
2017-11-12,6564.0,6818.0,6220.5,6345.5,1335894178
2017-11-13,6345.5,6480.0,5464.0,5846.5,2217483525
2017-11-14,5846.5,6720.0,5800.5,6558.0,1439111574
2017-11-15,6558.0,6777.0,6410.0,6632.5,783289296
2017-11-16,6632.5,7367.0,6624.5,7310.5,1271137892
2017-11-17,7310.5,8061.0,7131.0,7867.0,1352874206
2017-11-18,7867.0,8059.0,7550.0,7674.0,1575977218
2017-11-19,7674.0,7893.5,7425.0,7805.5,857056815
2017-11-20,7805.5,8152.5,7680.0,8062.0,800402418
2017-11-21,8062.0,8305.0,7929.5,8243.0,863222728
2017-11-22,8243.0,8393.5,7407.5,8098.5,1670787515
2017-11-23,8098.5,8319.0,8050.5,8219.0,853748162
2017-11-24,8219.0,8275.5,7975.5,7988.5,682535318
2017-11-25,7988.5,8386.5,7832.0,8207.5,976560999
2017-11-26,8207.5,8787.0,8140.0,8760.0,900440645
2017-11-27,8760.0,9586.0,8734.5,9339.0,1807968585
2017-11-28,9339.0,9796.0,9339.0,9751.5,1572797374
2017-11-29,9751.5,9992.5,9607.5,9938.0,1236953894
2017-11-30,9938.0,11489.0,8830.0,9869.5,3490469446
2017-12-01,9869.5,10750.5,8938.5,9960.0,2291590521
2017-12-02,9960.0,10988.0,9347.5,10879.5,1948017516
2017-12-03,10879.5,11262.5,10676.5,10910.5,1389465247
2017-12-04,10910.5,11896.0,10402.0,11210.0,1662517142
2017-12-05,11210.0,11685.5,10856.0,11682.0,1539285527
2017-12-06,11682.0,11961.0,11451.0,11726.0,1165153246
2017-12-07,11726.0,13890.5,11724.0,13682.0,2181553335
2017-12-08,13682.0,17750.0,13323.5,17427.0,3745748309
2017-12-09,17427.0,17719.5,13889.5,16272.0,2976200225
2017-12-10,16272.0,16600.0,13225.0,14984.5,1858006738
2017-12-11,14984.5,16149.0,13218.0,15143.0,2334949262
2017-12-12,15143.0,17742.5,15102.0,17009.0,1661016866
2017-12-13,17009.0,18067.0,16200.0,17236.0,1618633765
2017-12-14,17236.0,17561.0,15855.0,16436.5,1740697543
2017-12-15,16436.5,17145.0,16103.0,16651.0,1046084323
2017-12-16,16651.0,18296.5,16615.5,17700.0,1508093617
2017-12-17,17700.0,19840.0,17476.5,19547.5,1425811474
2017-12-18,19547.5,20093.0,18737.5,19287.5,1816963445
2017-12-19,19287.5,19384.0,18032.5,19127.0,1806717297
2017-12-20,19127.0,19346.0,16804.5,17663.0,1864278438
2017-12-21,17663.0,17943.5,15080.0,16463.0,2464171914
2017-12-22,16463.0,17468.5,15050.0,15775.0,1653592333
2017-12-23,15775.0,15905.0,10900.0,13763.5,3487515797
2017-12-24,13763.5,15928.0,13462.0,14719.5,1477899382
2017-12-25,14719.5,14788.5,12521.5,14227.5,1662515600
2017-12-26,14227.5,14710.5,13232.0,13989.5,996248193
2017-12-27,13989.5,16384.5,13900.0,15833.5,1375059652
2017-12-28,15833.5,16700.0,14497.5,15380.5,1281235547
2017-12-29,15380.5,15535.5,13450.5,14480.0,1326750967
2017-12-30,14480.0,15175.0,13905.0,14539.5,876425910
2017-12-31,14539.5,14601.5,11973.0,12673.5,1516089382
2018-01-01,12673.5,14350.0,12468.5,13873.0,814405650
2018-01-02,13873.0,14011.5,12772.0,13477.0,638958746
2018-01-03,13477.0,15269.0,12900.0,14786.5,904159652
2018-01-04,14786.5,15524.0,14555.0,15157.0,812686550
2018-01-05,15157.0,15500.0,14150.0,15186.0,814142088
2018-01-06,15186.0,17088.0,14805.0,16891.0,1010611092
2018-01-07,16891.0,17422.0,16235.0,17210.0,764303511
2018-01-08,17210.0,17213.0,15770.5,16224.5,863341710
2018-01-09,16224.5,16329.0,13800.0,14952.5,1473520709
2018-01-10,14952.5,15375.0,14183.0,14465.0,999024212
2018-01-11,14465.0,15012.5,13426.0,14963.5,1154658078
2018-01-12,14963.5,15033.5,12703.5,13287.5,1514629882
2018-01-13,13287.5,14197.0,12818.5,13874.5,886264793
2018-01-14,13874.5,14600.0,13810.0,14209.0,588530993
2018-01-15,14209.0,14364.0,13049.0,13645.0,806932736
2018-01-16,13645.0,14374.5,13400.0,13621.0,747398582
2018-01-17,13621.0,13619.0,10100.0,11330.0,2755983315
2018-01-18,11330.0,11799.0,9209.0,11210.0,2266854171
2018-01-19,11210.0,12183.0,10615.5,11252.0,1431204983
2018-01-20,11252.0,12078.0,10956.5,11546.5,989529029
2018-01-21,11546.5,13008.0,11490.0,12746.5,930649076
2018-01-22,12746.5,12757.0,11088.5,11560.0,1143587814
2018-01-23,11560.0,11855.0,10020.0,10792.5,1486837759
2018-01-24,10792.5,11437.0,9874.0,10830.0,1449900102
2018-01-25,10830.0,11499.0,10437.0,11394.5,1131616118
2018-01-26,11394.5,11750.0,10840.5,11117.0,981325170
2018-01-27,11117.0,11653.0,10230.0,11110.0,1452834482
2018-01-28,11110.0,11631.0,10777.5,11398.0,1009595524
2018-01-29,11398.0,11970.0,11350.0,11631.5,752035913
2018-01-30,11631.5,11768.0,10865.0,11127.0,922831552
2018-01-31,11127.0,11217.5,9616.5,9999.0,1551256047
2018-02-01,9999.0,10332.5,9500.0,10132.0,1160207807
2018-02-02,10132.0,10199.0,8476.0,9008.0,1778962963
2018-02-03,9008.0,9054.5,7610.0,8807.5,1969893239
2018-02-04,8807.5,9499.0,8105.0,9226.5,1176826654
2018-02-05,9226.5,9395.0,7791.0,8151.0,1436075356
2018-02-06,8151.0,8344.5,6543.0,6889.5,2088881027
2018-02-07,6889.5,7930.0,5855.0,7674.5,2383969711
2018-02-08,7674.5,8590.0,7189.5,7598.5,1968819425
2018-02-09,7598.5,8655.0,7576.0,8232.5,1711303991
2018-02-10,8232.5,8750.0,7692.0,8675.5,1462168195
2018-02-11,8675.5,9084.0,8112.0,8548.5,1536909710
2018-02-12,8548.5,8548.5,7830.0,8065.0,1528310563
2018-02-13,8065.0,8999.0,8063.0,8905.5,1606293489
2018-02-14,8905.5,8944.0,8331.0,8499.5,1530738973
2018-02-15,8499.5,9515.0,8499.5,9462.5,1672574959
2018-02-16,9462.5,10191.0,9336.0,10008.0,2116132820
2018-02-17,10008.0,10304.0,9705.0,10185.5,1750655042
2018-02-18,10185.5,11160.0,10013.5,11144.0,2178101186
2018-02-19,11144.0,11292.0,10174.0,10402.0,3006576838
2018-02-20,10402.0,11277.0,10300.0,11173.0,2443193873
2018-02-21,11173.0,11771.0,11020.0,11220.0,2733704794
2018-02-22,11220.0,11250.0,10251.0,10455.0,3211633653
2018-02-23,10455.0,10905.0,9726.0,9831.5,3217750552
2018-02-24,9831.5,10369.0,9581.0,10130.5,2811472247
2018-02-25,10130.5,10523.0,9338.5,9689.0,2780775740
2018-02-26,9689.0,9880.0,9289.0,9591.0,2299980554
2018-02-27,9591.0,10450.0,9379.5,10316.5,2500491670
2018-02-28,10316.5,10879.5,10150.5,10530.0,2639763770
2018-03-01,10530.0,11070.0,10250.0,10319.0,3137482715
2018-03-02,10319.0,11105.0,10230.0,10919.5,3081991666
2018-03-03,10919.5,11198.0,10770.0,11030.0,2963568811
2018-03-04,11030.0,11524.5,11022.0,11458.0,2803508861
2018-03-05,11458.0,11538.0,11066.0,11490.5,2634323574
2018-03-06,11490.5,11683.0,11330.5,11330.5,2409753832
2018-03-07,11330.5,11391.5,10560.0,10730.0,3980630223
2018-03-08,10730.0,10898.0,9330.5,9913.5,4822972246
2018-03-09,9913.5,10121.5,9030.0,9304.5,4815317589
2018-03-10,9304.5,9423.5,8340.0,9224.0,5723376753
2018-03-11,9224.0,9500.0,8706.0,8789.5,3158061690
2018-03-12,8789.5,9789.0,8400.0,9543.0,3947429500
2018-03-13,9543.0,9900.0,8711.0,9093.0,3856719896
2018-03-14,9093.0,9519.0,8805.5,9133.5,3565624937
2018-03-15,9133.5,9400.0,7933.5,8190.5,3603357324
2018-03-16,8190.5,8475.0,7652.5,8250.5,3815408242
2018-03-17,8250.5,8643.0,7873.0,8250.5,2725855502
2018-03-18,8250.5,8389.0,7730.5,7849.0,2600358139
2018-03-19,7849.0,8370.0,7300.0,8189.0,3812114001
2018-03-20,8189.0,8780.0,8126.0,8590.0,3174134064
2018-03-21,8590.0,9064.0,8323.5,8897.0,3098742538
2018-03-22,8897.0,9217.5,8750.0,8893.5,3037673596
2018-03-23,8893.5,9095.0,8505.0,8700.0,3088085258
2018-03-24,8700.0,8948.0,8255.0,8921.0,3053687082
2018-03-25,8921.0,9032.5,8460.5,8512.0,2776441965
2018-03-26,8512.0,8683.0,8360.0,8444.5,2698674833
2018-03-27,8444.5,8493.5,7820.0,8150.0,3200837738
2018-03-28,8150.0,8199.0,7716.0,7791.0,3196058935
2018-03-29,7791.0,8097.0,7727.5,7935.0,2432935533
2018-03-30,7935.0,7963.5,6850.0,7082.0,4153824059
2018-03-31,7082.0,7227.0,6543.0,6820.0,4484265672
2018-04-01,6820.0,7222.0,6788.0,6920.5,3064915621
2018-04-02,6920.5,7053.0,6404.5,6817.0,3120463644
2018-04-03,6817.0,7123.0,6766.0,7046.5,2396422744
2018-04-04,7046.5,7518.0,7006.5,7408.5,2730070459
2018-04-05,7408.5,7420.0,6686.5,6779.0,3371330612
2018-04-06,6779.0,6935.0,6555.0,6769.5,3283289247
2018-04-07,6769.5,6875.0,6479.5,6612.0,2256699483
2018-04-08,6612.0,7058.5,6608.0,6900.5,1935569407
2018-04-09,6900.5,7137.0,6885.0,7014.0,1602230571
2018-04-10,7014.0,7177.5,6600.0,6763.0,2772773920
2018-04-11,6763.0,6888.0,6620.0,6824.0,1765375582
2018-04-12,6824.0,6959.0,6802.0,6933.5,1428141027
2018-04-13,6933.5,8149.0,6688.0,7904.5,3364142710
2018-04-14,7904.5,8227.0,7754.0,7887.5,3478152695
2018-04-15,7887.5,8195.0,7835.0,8000.0,2357357570
2018-04-16,8000.0,8428.5,8000.0,8346.5,2043519004
2018-04-17,8346.5,8420.0,7910.0,8047.0,2834140820
2018-04-18,8047.0,8179.0,7800.5,7889.5,2154592030
2018-04-19,7889.5,8262.0,7857.0,8177.0,1900890471
2018-04-20,8177.0,8300.0,8068.5,8266.0,1911752679
2018-04-21,8266.0,8974.0,8215.0,8847.0,3018131037
2018-04-22,8847.0,9050.5,8651.0,8923.5,3074828221
2018-04-23,8923.5,9020.0,8739.0,8800.0,2644757064
2018-04-24,8800.0,9005.0,8780.0,8943.0,2135080245
2018-04-25,8943.0,9780.0,8939.5,9675.0,4135964861
2018-04-26,9675.0,9765.5,8711.0,8846.5,5812260809
2018-04-27,8846.5,9327.0,8611.0,9288.0,3628323166
2018-04-28,9288.0,9384.5,8910.0,8928.0,2858560602
2018-04-29,8928.0,9450.0,8852.0,9343.5,2857265463
2018-04-30,9343.5,9540.0,9192.0,9400.5,2283372166
2018-05-01,9400.5,9457.0,9123.0,9250.0,2370798272
2018-05-02,9250.0,9253.5,8800.5,9066.0,2581286454
2018-05-03,9066.0,9258.0,8974.5,9216.0,1979596355
2018-05-04,9216.0,9852.0,9167.5,9741.5,3062952316
2018-05-05,9741.5,9778.0,9351.0,9683.0,2686795243
2018-05-06,9683.0,9970.0,9671.5,9828.5,2448922057
2018-05-07,9828.5,9936.0,9416.0,9600.5,2905667236
2018-05-08,9600.5,9618.0,9170.0,9359.5,3094401138
2018-05-09,9359.5,9449.0,9002.0,9190.5,2521604621
2018-05-10,9190.5,9345.0,8966.0,9305.5,2209067325
2018-05-11,9305.5,9399.0,9001.0,9027.5,2312772193
