Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
01-12-2020,194.5,196.25,192.4,194.45,1428072,3.85,0.05
27-11-2020,194.9,195.7,193.25,193.7,1692524,2.45,1.2
26-11-2020,195.4,195.9,192.55,194.8,867674,3.35,0.6
25-11-2020,195.5,198,192.55,193.7,1940607,5.45,1.8
24-11-2020,191,196.4,190.9,195.45,1461650,5.5,-4.45
23-11-2020,192,192.5,188.7,190.8,935989,3.8,1.2
20-11-2020,188.15,191.95,186.05,191.6,2183495,5.9,-3.45
19-11-2020,183,191.7,182.8,187.85,4165066,8.9,-4.85
18-11-2020,186.75,188.35,182.8,184.05,991709,5.55,2.7
17-11-2020,188.7,189.35,186.4,187.3,1683426,2.95,1.4
14-11-2020,189.8,190,188,188.65,389585,2,1.15
13-11-2020,187,188.75,185.7,187.05,1831490,3.05,-0.05
12-11-2020,185.2,188.8,183.95,187.9,1960969,4.85,-2.7
11-11-2020,179.6,185.75,178.55,185.25,4977233,7.2,-5.65
10-11-2020,174.95,179.5,171.9,178.35,5194786,7.6,-3.4
09-11-2020,173.95,177.2,171.75,172.8,2749148,5.45,1.15
06-11-2020,176.55,177.2,173.4,173.95,2335628,3.8,2.6
05-11-2020,170.55,175.05,170.2,174.8,941290,4.85,-4.25
04-11-2020,170,171.8,168.1,169.7,1256942,3.7,0.3
03-11-2020,167.6,170.75,167.1,170.1,704326,3.65,-2.5
02-11-2020,165.75,167.05,164.4,166.7,1074879,2.65,-0.95
30-10-2020,164.3,166.75,163.45,165.25,1125563,3.3,-0.95
29-10-2020,164.1,166,163.4,163.85,1205060,2.6,0.25
28-10-2020,168.25,168.25,165.05,165.55,2167706,3.2,2.7
27-10-2020,168.35,169.25,166.8,167.2,1212248,2.45,1.15
26-10-2020,171,171.5,168.3,168.55,478090,3.2,2.45
23-10-2020,168.95,170.95,167.75,170.7,1336565,3.2,-1.75
22-10-2020,167.65,169,166.9,168.55,858531,2.1,-0.9
21-10-2020,168.3,168.8,166.6,167.65,936421,2.2,0.65
20-10-2020,168.7,168.7,166.75,167.5,744293,1.95,1.2
19-10-2020,166.95,168.95,166.2,168.3,1191020,2.75,-1.35
16-10-2020,165.1,166.75,163.8,165.75,1285221,2.95,-0.65
15-10-2020,167.9,168,164.5,165.05,3298083,3.5,2.85
14-10-2020,170.15,170.85,167.1,167.85,1534134,3.75,2.3
13-10-2020,172.85,174.8,169.55,170.2,2055419,5.25,2.65
12-10-2020,169.95,175.2,169.95,172.2,3754774,5.25,-2.25
