Date,Open,High,Low,Close,Volume
18-02-2020,204.95,204.95,200.3,203.9,423637.0
17-02-2020,208.8,208.8,204.2,204.75,485376.0
14-02-2020,212.8,212.9,206.85,207.75,572912.0
13-02-2020,213.8,213.8,211.35,211.95,246601.0
12-02-2020,213.65,214.8,211.85,213.0,359708.0
11-02-2020,217.0,217.0,211.85,212.7,833023.0
10-02-2020,213.55,214.2,210.2,210.7,510148.0
07-02-2020,214.7,215.55,212.8,213.5,368987.0
06-02-2020,217.05,219.8,211.85,213.5,975338.0
05-02-2020,216.5,217.5,211.5,216.55,781563.0
04-02-2020,211.45,217.6,209.25,215.7,1314665.0
03-02-2020,215.7,215.95,205.0,207.7,2806638.0
01-02-2020,238.15,239.25,215.7,218.85,1746151.0
31-01-2020,236.15,238.35,234.1,235.25,418235.0
30-01-2020,238.4,238.4,233.0,233.85,213699.0
29-01-2020,231.2,237.6,231.2,236.85,548653.0
28-01-2020,234.65,235.85,230.5,230.75,490403.0
27-01-2020,237.65,237.65,234.2,234.65,318465.0
24-01-2020,237.9,239.1,237.05,238.1,271202.0
23-01-2020,238.0,238.8,237.0,237.9,238087.0
22-01-2020,239.95,239.95,237.05,237.95,231739.0
21-01-2020,241.9,241.9,237.95,238.3,927237.0
20-01-2020,241.0,243.25,240.25,241.9,272753.0
17-01-2020,241.5,242.1,239.4,239.85,244164.0
16-01-2020,243.3,243.8,240.4,240.75,190776.0
15-01-2020,243.5,243.5,241.1,242.4,175383.0
14-01-2020,240.0,243.7,238.35,243.3,870308.0
13-01-2020,238.95,240.5,238.25,239.15,260804.0
10-01-2020,237.0,238.8,236.9,238.0,259573.0
09-01-2020,236.0,236.6,235.05,235.8,358421.0
08-01-2020,234.8,235.8,233.85,234.2,191885.0
07-01-2020,236.6,237.9,234.7,235.3,186355.0
06-01-2020,238.45,238.45,235.0,235.1,260845.0
03-01-2020,240.7,240.7,237.9,238.45,216996.0
02-01-2020,238.75,240.6,238.35,239.8,192171.0
01-01-2020,238.9,238.9,237.2,238.15,125205.0
